,PC1,PC2
Ht_in,0.001373826767380849,0.19610909424568193
Wt,0.0036292526548441714,0.1783607673216081
Exp,0.046618756647521825,-0.029548078650955822
W,0.019153241849598546,0.00429372137672443
L,-0.01610712075676224,-0.0033975558784141713
W/L%,0.01821539043452075,0.004338724272452965
SRS,0.018719027191264177,0.004995133308155625
Pace,0.011521411897358997,0.00814857934641812
Rel Pace,0.0007855957824730477,2.155098311583739e-05
ORtg,0.013167676520395629,-0.010647428166717546
Rel ORtg,0.017526696469832348,0.005147043823248238
DRtg,-0.00811986754522796,-0.016790357879279957
Rel DRtg,-0.01136233744610994,-0.0018658097333343559
First_Round,0.05378202033410823,-0.031074377372608066
Conf_Semis,0.04727779576117197,-0.03349829236872679
Conf_Finals,0.0383236338355785,-0.026026974870506387
Finals_Made,0.026981914750547873,-0.01994443057226649
Finals_Won,0.02110691710326112,-0.014103211257894611
G,0.13763870254877664,-0.03771678129691932
MP,0.1572589420419838,-0.08834895826180628
FG,0.1397988314444679,0.165444889352927
2P,0.12909176130299002,0.13540790921383655
3P,0.060615438936863573,-0.1684540017333023
eFG,0.14010659743953857,0.108411464018258
FT,0.11229174326994708,-0.041963933211192975
TS,0.14815057114867392,0.10222352469667016
FTr,0.03683082592179369,0.13579299833324893
3PAr,-0.0017876262598625287,-0.17615826554938932
FG+,0.1390852083295719,0.16449373456959845
2P+,0.13121952606195908,0.14049757680083977
3P+,0.06168078945021163,-0.16664291133453518
eFG+,0.14217772229381104,0.1135792124812847
FT+,0.11234028669581347,-0.04105222472076155
TS+,0.14941233835820783,0.1057456016099159
FTr+,0.036853651132792965,0.1323616191333031
3PAr+,0.004493317714744871,-0.16798584515290524
FG Add,0.06161373974581125,0.04834019646333405
TS Add,0.07474344278508614,0.02699531992401565
Age_per_100,0.07925804417438485,0.03045933780294233
ORtg_per_100,0.14056151868550495,0.07322571149310074
DRtg_per_100,0.07689045288183247,0.023889219516902357
Age_adv,0.07428316981728865,0.03638602170225388
G_adv,0.13764001465899217,-0.037730954359362426
MP_adv,0.15726145714691414,-0.08837612575033323
PER,0.1550093746461188,0.04669104984573742
TS%,0.14814984796908595,0.10223028252486681
3PAr_adv,-0.0017895617676008744,-0.1761520400986232
FTr_adv,0.03682338871260814,0.135866635801855
ORB%,0.018737175182101128,0.20987398993994594
DRB%,0.05307211009737525,0.18531385425332694
TRB%,0.044745526698288546,0.2256369204201464
AST%,0.06381936031764915,-0.16107931332997727
STL%,0.028953181897888407,-0.04009418281857785
BLK%,0.024437178559026527,0.15894405977215256
TOV%,-0.002442741572342903,0.06514780790341515
USG%,0.0877779677800307,-0.05195239541603643
OWS,0.1413461515724633,-0.06629432264513559
DWS,0.14060509845183683,-0.019765465428052797
WS,0.15469119889047464,-0.05344351556461673
WS/48,0.12765612292495837,0.06200055853189026
OBPM,0.12338471337923204,-0.039070352794443666
DBPM,0.052296016049807256,0.05822376563127093
BPM,0.11847997501342283,-0.009555230395996497
VORP,0.13130908707995095,-0.08387334233981353
Age_per_game,0.07927931474171417,0.030480738379192268
G_per_game,0.1404955122644712,-0.03748913577805487
GS,0.13729090263445032,-0.07495048028244584
MP_per_game,0.16730131541311208,-0.09518181680190166
FG_per_game,0.16492490097650703,-0.09641334628673169
FGA,0.15592090470888476,-0.13032116863745288
FG%,0.14101246574870674,0.15179232229047332
3P_per_game,0.07224288274837368,-0.19715921300359085
3PA,0.06916013668707212,-0.2064729599286933
3P%,0.06418556188909362,-0.16693328007621783
2P_per_game,0.157623066618972,-0.044272380704547205
2PA,0.15024079019462905,-0.06376956704015692
2P%,0.13139866276685572,0.12461232288679534
eFG%,0.1412653596637686,0.09864895884266506
FT_per_game,0.14784101955629,-0.07073149870629628
FTA,0.14810265397395758,-0.04628217960372184
FT%,0.11609878702435766,-0.04049113144000991
ORB,0.11169723657523661,0.1304391971395679
DRB,0.14323699364726475,0.04214156195603374
TRB,0.1396614183338746,0.07389543205632847
AST,0.11256584712970136,-0.1736127604487117
STL,0.1292866778333056,-0.12406226104499693
BLK,0.0879755508082205,0.11486933214723177
TOV,0.14293177057408454,-0.0934050898618835
PF,0.13594735638914152,0.035615743449608356
PTS,0.16505510862197215,-0.10929597730729765
Rk,0.07217939151664518,0.02245994170969448
Pk,-0.012503754028554893,0.04500162088678983
salary,0.07081221914682137,-0.06078010342292762
